rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_category
512958,305669,mobile,ended,-24.0,
513466,331681,mobile,ended,110.0,
513899,299017,connect,canceled,canceled,Annulé
514856,354388,mobile,canceled,canceled,Annulé
515482,277553,mobile,ended,42.0,
515658,392779,mobile,canceled,canceled,Annulé
516550,377700,mobile,canceled,canceled,Annulé
517336,267672,connect,canceled,canceled,Annulé
519413,397599,mobile,ended,89.0,
519971,382613,mobile,canceled,canceled,Annulé
520530,402156,mobile,canceled,canceled,Annulé
520615,265239,connect,ended,-22.0,
520627,375887,connect,canceled,canceled,Annulé
522507,390927,connect,ended,183.0,
522667,214635,connect,ended,119.0,
522719,392479,mobile,canceled,canceled,Annulé
523583,403526,mobile,canceled,canceled,Annulé
524517,351304,mobile,ended,-70.0,
525092,310644,mobile,ended,22.0,
526071,404493,mobile,ended,42.0,
526089,369713,connect,ended,-73.0,
526147,298455,mobile,ended,-65.0,
526232,377364,mobile,ended,6.0,
526713,400078,mobile,canceled,canceled,Annulé
526847,371520,mobile,ended,9.0,
527537,404496,mobile,ended,-5.0,
527981,358978,connect,ended,-60.0,
528419,404725,mobile,canceled,canceled,Annulé
529009,262187,mobile,canceled,canceled,Annulé
529128,382700,mobile,ended,6.0,
529233,399528,connect,ended,-53.0,
529252,399528,connect,ended,-104.0,
529410,380223,mobile,canceled,canceled,Annulé
529768,339442,mobile,ended,16.0,
529809,285241,mobile,ended,7.0,
530261,280805,connect,ended,28.0,
530274,204019,mobile,ended,14.0,
530372,407199,mobile,ended,-10.0,
531165,310444,connect,canceled,canceled,Annulé
531442,398877,mobile,ended,-1.0,
531511,296967,connect,ended,-11.0,
532257,289901,connect,ended,-157.0,
532328,259952,mobile,ended,-38.0,
532417,309209,connect,canceled,canceled,Annulé
532670,369634,mobile,ended,-95.0,
532787,226544,connect,ended,203.0,
571284,403149,mobile,ended,-33.0,
571549,370907,mobile,ended,-36.0,
571771,393938,mobile,canceled,canceled,Annulé
571983,271419,mobile,canceled,canceled,Annulé
572142,378072,connect,canceled,canceled,Annulé
572168,391519,connect,canceled,canceled,Annulé
572456,352663,mobile,ended,33.0,
572651,407390,mobile,canceled,canceled,Annulé
572757,385861,mobile,ended,33.0,
572844,342154,connect,ended,26.0,
572998,401462,mobile,canceled,canceled,Annulé
573034,227100,mobile,ended,4.0,
573315,398586,connect,ended,26.0,
573680,300345,mobile,ended,-25.0,
574171,381499,connect,ended,-174.0,
574419,280227,connect,canceled,canceled,Annulé
574568,301512,mobile,ended,110.0,
574868,371387,mobile,ended,-129.0,
505377,290726,connect,ended,62.0,
505558,394490,mobile,canceled,canceled,Annulé
505576,300601,mobile,ended,-2.0,
505628,194343,connect,ended,-60.0,
506069,192409,mobile,ended,159.0,
506563,390718,mobile,canceled,canceled,Annulé
506728,382700,mobile,ended,-67.0,
507918,366079,mobile,ended,98.0,
509168,299180,mobile,ended,-51.0,
509315,190163,mobile,ended,-105.0,
509587,345738,mobile,ended,-58.0,
510797,399549,mobile,ended,-14.0,
512503,390347,mobile,ended,-98.0,
512763,293771,mobile,canceled,canceled,Annulé
513317,358772,connect,ended,-8.0,
513369,245884,mobile,canceled,canceled,Annulé
515229,304392,connect,ended,-24.0,
515357,376237,mobile,ended,69.0,
516962,398697,mobile,ended,-17.0,
517348,391056,mobile,canceled,canceled,Annulé
518261,391287,mobile,ended,-7.0,
506242,388411,mobile,ended,3.0,
508535,351024,mobile,ended,102.0,
508850,188941,mobile,ended,-179.0,
510674,173341,mobile,ended,28.0,
514089,390976,connect,canceled,canceled,Annulé
514474,376574,mobile,ended,81.0,
514557,364038,mobile,ended,-1.0,
514571,330176,mobile,ended,3.0,
515156,339993,mobile,ended,8.0,
515663,366631,mobile,ended,4.0,
517592,382901,mobile,canceled,canceled,Annulé
517677,392485,mobile,ended,28.0,
517979,394561,mobile,ended,5.0,
519135,383344,connect,ended,69.0,
519321,353459,connect,ended,3.0,
519728,310636,connect,ended,-87.0,
520525,370312,mobile,canceled,canceled,Annulé
520613,346755,connect,ended,-120.0,
521322,388172,mobile,canceled,canceled,Annulé
521865,401475,connect,ended,113.0,
522544,384479,mobile,ended,47.0,
523140,390056,mobile,ended,78.0,
523523,285452,connect,canceled,canceled,Annulé
524013,167023,mobile,ended,-10.0,
524084,335239,mobile,ended,147.0,
524099,396672,mobile,canceled,canceled,Annulé
524306,403410,mobile,ended,166.0,
525019,321582,mobile,canceled,canceled,Annulé
526080,241935,mobile,ended,160.0,
526116,385295,mobile,canceled,canceled,Annulé
527278,402845,mobile,canceled,canceled,Annulé
527653,343652,mobile,ended,20.0,
528901,364310,mobile,ended,12.0,
529269,361156,mobile,ended,0.0,
529438,265546,mobile,ended,15.0,
530202,361564,mobile,ended,21.0,
530441,283806,mobile,ended,-117.0,
530803,373677,mobile,ended,-2.0,
531394,320834,connect,ended,7.0,
531518,391618,connect,ended,3.0,
531609,404592,mobile,canceled,canceled,Annulé
531713,371159,connect,ended,-125.0,
531991,389441,mobile,ended,35.0,
532620,276919,mobile,canceled,canceled,Annulé
533364,344091,mobile,ended,31.0,
533534,385666,mobile,ended,-159.0,
533839,180535,mobile,ended,32.0,
533945,353270,mobile,ended,130.0,
533968,378850,mobile,ended,-25.0,
534242,288611,mobile,ended,12.0,
534298,384479,mobile,ended,14.0,
534408,255078,mobile,canceled,canceled,Annulé
534448,364160,connect,ended,-94.0,
534457,404341,mobile,canceled,canceled,Annulé
534953,389348,mobile,ended,-6.0,
535035,175071,mobile,ended,57.0,
535330,311376,mobile,ended,113.0,
535386,405490,mobile,ended,69.0,
535519,353425,connect,ended,-166.0,
535750,160062,mobile,ended,-26.0,
535870,308073,connect,ended,-37.0,
535903,375307,mobile,ended,67.0,
535988,319579,mobile,canceled,canceled,Annulé
536163,336027,mobile,ended,19.0,
536169,392718,mobile,ended,-2.0,
536207,407820,mobile,ended,18.0,
536208,366199,connect,ended,21.0,
536616,399464,mobile,ended,74.0,
536680,313772,connect,ended,-180.0,
536823,299776,mobile,ended,-18.0,
536829,372687,mobile,ended,15.0,
536934,376901,connect,ended,35.0,
536944,405733,mobile,ended,4.0,
537265,390976,connect,ended,54.0,
537338,382712,mobile,ended,61.0,
537367,374740,mobile,ended,147.0,
537441,408821,mobile,ended,25.0,
537452,320834,connect,ended,-117.0,
537485,394320,mobile,ended,117.0,
537497,310534,mobile,canceled,canceled,Annulé
537499,373233,mobile,ended,170.0,
537857,282657,mobile,ended,64.0,
537872,315136,connect,ended,23.0,
538108,409227,mobile,ended,20.0,
506446,400193,mobile,canceled,canceled,Annulé
